ReqID,a(SrcNode),i(DesNode),k(Path),p(Ratio),dtTrans,tArrival,start,end,timeSer(PSO),t_wait,t_proc,t_serv,moved_data,t_trans_vr,t_end_real
1,V6,R1,R0,1.0,1.0,0.14348552205904477,1.6995528638616137,1.6995528638616137,2.699552863861614,1.3272410790461642,0.0,1.0000000000000002,1.143485522059045,55.68350211730893,1.556067341802569,
21,V9,R2,R2,1.0,1.0,0.0,1.7575757575757578,2.657796460198747,3.657796460198747,2.6176820796639664,0.9002207026229891,1.0,1.9002207026229891,409.0909090909091,1.7575757575757578,
41,V8,R2,R2,1.0,1.0,0.0,1.6577964601987467,1.6577964601987467,2.657796460198747,2.6176820796639664,0.0,1.0000000000000002,1.0000000000000002,81.11578171635335,1.6577964601987467,
2,V6,R1,R1,1.0,1.0,0.0,2.366010201046007,2.366010201046007,3.366010201046007,1.0269584158629559,0.0,1.0,1.0,8.169216928168453,1.3660102010460071,
22,V9,R2,R5,1.0,1.0,0.15151515151515155,2.787878787878788,2.787878787878788,3.787878787878788,1.401515151515152,0.0,1.0,1.1515151515151516,75.75757575757586,1.6363636363636367,
42,V8,R2,R2,1.0,1.0,0.0,2.3939393939393945,3.657796460198747,4.657796460198747,2.0500000000000003,1.2638570662593525,1.0,2.2638570662593525,15.151515151515298,1.3939393939393945,
3,V6,R1,R1,1.0,1.0,0.0,3.2727272727272734,3.366010201046007,4.316010201046008,1.9500000000000004,0.09328292831873375,0.9500000000000006,1.0432829283187344,0.0,1.2727272727272734,
23,V9,R2,R5,1.0,1.0,0.15151515151515155,3.787878787878788,3.787878787878788,4.787878787878788,2.401515151515152,0.0,1.0,1.1515151515151516,75.75757575757586,1.6363636363636367,
43,V8,R2,R2,1.0,1.0,0.0,3.4738982301514847,4.657796460198747,5.657796460198747,2.7737625000737216,1.1838982300472622,1.0,2.1838982300472622,35.14122420453788,1.4738982301514847,
4,V6,R1,R4,1.0,1.0,0.11515151515151521,4.387878787878789,4.387878787878789,5.33787878787879,1.0651515151515158,0.0,0.9500000000000011,1.0651515151515163,0.0,1.2727272727272734,
24,V9,R2,R5,1.0,1.0,0.15151515151515155,4.787878787878788,4.787878787878788,5.787878787878788,3.18939393939394,0.0,1.0,1.1515151515151516,75.75757575757586,1.6363636363636367,
