id: 0 req:2 src:V1 des:V1 route:V1 p(ratio):0.7646413564790465 tComp:12.61658238190427 tTrans:0.0 tSer: 12.61658238190427 hop:0 npath:0 cWL:0.0 res:30.3030303030303
id: 1 req:2 src:V1 des:V0 route:V1 p(ratio):0.0606060606060606 tComp:1.1212121212121213 tTrans:0.1212121212121212 tSer: 1.2424242424242424 hop:1 npath:1 cWL:3.6730945821854917 res:30.3030303030303
id: 2 req:2 src:V1 des:V2 route:V1 p(ratio):0.0606060606060606 tComp:3.121212121212121 tTrans:0.1212121212121212 tSer: 3.242424242424242 hop:1 npath:1 cWL:33.976124885215796 res:30.3030303030303
id: 3 req:2 src:V1 des:V5 route:V1 p(ratio):0.05354046170277184 tComp:0.8834176180957354 tTrans:0.10708092340554368 tSer: 0.990498541501279 hop:1 npath:1 cWL:0.0 res:30.3030303030303
id: 4 req:2 src:V1 des:V6 route:V1 p(ratio):0.0606060606060606 tComp:1.0 tTrans:0.1212121212121212 tSer: 1.121212121212121 hop:1 npath:1 cWL:0.0 res:30.3030303030303
id: 0 req:12 src:V4 des:V4 route:V4 p(ratio):0.9393939393939394 tComp:15.500000000000002 tTrans:0.0 tSer: 15.500000000000002 hop:0 npath:0 cWL:0.0 res:30.3030303030303
id: 1 req:12 src:V4 des:V9 route:V4 p(ratio):0.0606060606060606 tComp:1.1212121212121213 tTrans:0.1212121212121212 tSer: 1.2424242424242424 hop:1 npath:1 cWL:3.6730945821854917 res:30.3030303030303
id: 0 req:22 src:V3 des:V3 route:V3 p(ratio):0.8787878787878789 tComp:14.500000000000002 tTrans:0.0 tSer: 14.500000000000002 hop:0 npath:0 cWL:0.0 res:30.3030303030303
id: 1 req:22 src:V3 des:V2 route:V3 p(ratio):0.0606060606060606 tComp:3.121212121212121 tTrans:0.1212121212121212 tSer: 3.242424242424242 hop:1 npath:1 cWL:33.976124885215796 res:30.3030303030303
id: 2 req:22 src:V3 des:V8 route:V3 p(ratio):0.0606060606060606 tComp:1.1212121212121213 tTrans:0.1212121212121212 tSer: 1.2424242424242424 hop:1 npath:1 cWL:3.6730945821854917 res:30.3030303030303
