

1.1.true
Test case,TSIM,Workload,
1,15,Random,

 Vehicle logging
ID,Tser_All(Vehicle),Tser_All(RSU),Tser_All(CLoud),
1,1.1442331696506347,0.1058389378469199,0.0,
11,1.1937010097055505,0.18845924217942925,0.0,
21,0.5381580278534575,0.015207551176537545,0.0,
31,1.2424242424242422,1.0281818181818183,0.0,
41,0.5781876918310644,2.6920365793691304E-4,0.0,
2,1.0606641203732883,0.11878787878787889,0.0,
12,0.5716913042454876,0.0692959156661197,0.0,
22,1.0,0.18404627045643807,0.0,
32,1.2424242424242422,0.9175757575757579,0.0,
42,1.187191707633262,0.17766617742996793,0.0,
3,1.0,0.4087878787878787,0.0,
13,1.2424242424242422,0.11630181263853467,0.0,
23,1.121212121212121,0.5387878787878786,0.0,
33,1.121212121212121,0.9455738348798506,0.0,
43,0.5886302549355955,0.05404823239700329,0.0,
4,0.672730207099653,0.08154305540601836,0.0,
14,1.195431650301778,0.1295513997652895,0.0,
24,1.0,1.1366981563146332,0.0,
34,1.2424242424242422,0.9636018516342522,0.0,
44,1.7128434706049669,0.007136682720427778,0.0,
5,0.5090133088053275,0.04036908782533377,0.0,
15,0.7693018112166516,0.006333037494588467,0.0,
25,0.4585669655790374,0.13669815631463322,0.0,
35,1.1026351445499847,1.0650505050505048,0.0,
45,0.7819993004369081,0.0017858371746930501,0.0,
6,0.5133010873124491,0.0650505050505048,0.0,
16,1.0,0.23793923046391718,0.0,
26,1.0,1.0685605844330635,0.0,
36,1.121212121212121,1.5216223951257648,0.0,
46,0.5075120892403149,0.019915569665627686,0.0,
7,1.0,1.1756565656565652,0.0,
17,0.2703053867406613,0.03276428930189823,0.0,
27,0.8298330268855043,0.5216223951257648,0.0,
37,1.0,1.6538184275445404,0.0,
47,0.39806498285652125,0.0482503009523052,0.0,
8,1.0,1.8040017261355832,0.0,
18,1.0,1.6538184275445396,0.386842770386556,
28,1.0775206336668237,2.163822650072669,0.0,
38,1.121212121212121,2.6071559834060025,0.0,
48,0.5036103307053983,0.024128286695542123,0.0,
9,1.4794360351857332,2.377010798153716,0.0,
19,1.0,0.2065183078757702,0.0,
29,1.1699186684859306,2.0002179427414557,0.0,
39,1.162285637729049,1.6234836744292913,0.7943622546715687,
49,1.551555746891328,1.0003954505402213,0.0,
10,1.0,0.0,0.0,
20,1.0,0.0,0.0,
30,1.0,0.0,0.0,
40,1.0,0.0,0.0,
50,1.0,0.0,0.0,
